POLY_ID,CMP_ID,POLY_RATING,CMP,PERCENT,CMP_CLASS,CLIMATE_POINTS,CLIMATE_CLASS,PROVINCE,SOIL_CODE,SOIL_NAME,SOIL_POINTS,SOIL_CLASS,LANDSCAPE_POINTS,LANDSCAPE_CLASS
BCC0115000803,BC50008031,5MV(10),1,100,5,81,1,BC,SUH,~~~~~,25,5,94,1
BCC0115000804,BC50008041,6VT(10),1,70,6,78,2,BC,WHC,~~~~~,14,6,80,1
BCC0115000804,BC50008042,6VT(10),2,30,4,78,2,BC,NCH,~~~~~,31,4,80,1
BCC0115000805,BC50008051,6MV(10),1,100,6,78,2,BC,SDS,~~~~~,15,6,100,1
BCC0115000806,BC50008061,3WV(7) - 4VW(3),1,70,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000806,BC50008062,3WV(7) - 4VW(3),2,30,4,78,2,BC,FDD,~~~~~,30,4,100,1
BCC0115000807,BC50008071,4VW(10),1,100,4,82,1,BC,DFH,~~~~~,30,4,100,1
BCC0115000808,BC50008081,NR(10),1,100,NR,82,1,BC,$GP,~~~~~,,NotRated,7,7
BCC0115000809,BC50008091,7WV(10),1,100,7,78,2,BC,SCT,~~~~~,5,7,100,1
BCC0115000810,BC50008101,6WN(10),1,100,6,81,1,BC,SPF,sad~~,16,6,100,1
BCC0115000811,BC50008111,6WN(10),1,100,6,81,1,BC,SPF,sa~~~,17,6,100,1
BCC0115000812,BC50008121,6WV(10),1,100,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000813,BC50008131,6WN(10),1,100,6,81,1,BC,SPF,sad~~,16,6,100,1
BCC0115000814,BC50008141,6W(10),1,60,6,81,1,BC,LDR,d~~~~,16,6,100,1
BCC0115000814,BC50008142,6W(10),2,40,6,81,1,BC,SPF,sad~~,16,6,100,1
BCC0115000815,BC50008151,4VT(10),1,100,4,67,2,BC,ABF,~~~~~,44,4,50,3
BCC0115000816,BC50008161,3WV(6) - 6WV(4),1,60,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000816,BC50008162,3WV(6) - 6WV(4),2,40,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000817,BC50008171,6WN(10),1,100,6,81,1,BC,SPF,sad~~,16,6,100,1
BCC0115000818,BC50008181,6V(7) - 7WV(3),1,70,6,78,2,BC,WHC,~~~~~,14,6,100,1
BCC0115000818,BC50008182,6V(7) - 7WV(3),2,30,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000821,BC50008211,6WV(7) - 3WV(3),1,70,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000821,BC50008212,6WV(7) - 3WV(3),2,30,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000823,BC50008231,3WV(10),1,80,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000823,BC50008232,3WV(10),2,20,3,78,2,BC,VYE,sv~~~,54,3,100,1
BCC0115000824,BC50008241,6VM(10),1,70,7,82,1,BC,BOS,~~~~~,0,7,94,1
BCC0115000824,BC50008242,6VM(10),2,30,4,82,1,BC,SUH,~~~~~,34,4,94,1
BCC0115000825,BC50008251,7W(10),1,100,7,78,2,BC,GBS,~~~~~,2,7,100,1
BCC0115000826,BC50008261,6WV(10),1,100,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000827,BC50008271,3WV(10),1,60,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000827,BC50008272,3WV(10),2,40,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000828,BC50008281,6VW(10),1,100,6,82,1,BC,CGL,~~~~~,16,6,100,1
BCC0115000829,BC50008291,3WV(10),1,100,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000830,BC50008301,3WV(7) - 6WV(3),1,70,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000830,BC50008302,3WV(7) - 6WV(3),2,30,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000831,BC50008311,7W(10),1,100,7,78,2,BC,JUD,d~~~~,1,7,100,1
BCC0115000832,BC50008321,6VT(7) - 7WV(3),1,50,6,78,2,BC,WHC,~~~~~,14,6,80,1
BCC0115000832,BC50008322,6VT(7) - 7WV(3),2,30,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000832,BC50008323,6VT(7) - 7WV(3),3,20,4,78,2,BC,NCH,~~~~~,31,4,80,1
BCC0115000833,BC50008331,7V(10),1,100,7,82,1,BC,WHC,~~~~~,7,7,94,1
BCC0115000834,BC50008341,7WV(7) - 6V(3),1,70,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000834,BC50008342,7WV(7) - 6V(3),2,30,6,78,2,BC,WHC,~~~~~,14,6,100,1
BCC0115000835,BC50008351,7VW(10),1,100,7,81,1,BC,DLT,sad~~,0,7,100,1
BCC0115000836,BC50008361,7W(10),1,100,7,78,2,BC,GNV,d~~~~,4,7,100,1
BCC0115000837,BC50008371,4MV(7) - 5W(3),1,70,4,82,1,BC,SUH,~~~~~,34,4,100,1
BCC0115000837,BC50008372,4MV(7) - 5W(3),2,30,5,82,1,BC,HRO,d~~~~,22,5,100,1
BCC0115000839,BC50008391,3WV(10),1,100,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000840,BC50008401,4VW(10),1,100,4,78,2,BC,BTS,sv~~~,39,4,100,1
BCC0115000842,BC50008421,7WV(10),1,100,7,78,2,BC,ANS,pd~~~,6,7,100,1
BCC0115000843,BC50008431,6WV(6) - 3WV(4),1,60,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000843,BC50008432,6WV(6) - 3WV(4),2,40,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000844,BC50008441,6V(7) - 7WV(3),1,70,6,78,2,BC,WHC,~~~~~,14,6,94,1
BCC0115000844,BC50008442,6V(7) - 7WV(3),2,30,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000845,BC50008451,5VM(10),1,100,5,82,1,BC,ABF,an~~~,23,5,94,1
BCC0115000847,BC50008471,3WV(10),1,100,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000848,BC50008481,3V(10),1,70,3,78,2,BC,LKM,~~~~~,52,3,100,1
BCC0115000848,BC50008482,3V(10),2,30,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000849,BC50008491,7VTM(10),1,100,7,82,1,BC,BOS,~~~~~,0,7,47,3
BCC0115000850,BC50008501,6WV(10),1,60,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000850,BC50008502,6WV(10),2,40,6,78,2,BC,VDD,d~~~~,14,6,100,1
BCC0115000852,BC50008521,7WV(10),1,100,7,82,1,BC,RSS,d~~~~,7,7,100,1
BCC0115000853,BC50008531,6V(10),1,70,6,78,2,BC,WHC,~~~~~,14,6,94,1
BCC0115000853,BC50008532,6V(10),2,30,4,78,2,BC,NCH,~~~~~,31,4,94,1
BCC0115000854,BC50008541,6WV(10),1,60,6,78,2,BC,VDD,d~~~~,14,6,100,1
BCC0115000854,BC50008542,6WV(10),2,40,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000856,BC50008561,3W(7) - 6WV(3),1,70,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000856,BC50008562,3W(7) - 6WV(3),2,30,6,78,2,BC,VDD,d~~~~,14,6,100,1
BCC0115000857,BC50008571,3TP(7) - 7VPT(3),1,70,3,67,2,BC,LZE,~~~~~,77,2,58,3
BCC0115000857,BC50008572,3TP(7) - 7VPT(3),2,30,7,67,2,BC,ISR,~~~~~,0,7,58,3
BCC0115000859,BC50008591,7WV(10),1,100,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000860,BC50008601,7W(10),1,100,7,82,1,BC,JUD,d~~~~,1,7,100,1
BCC0115000862,BC50008621,4VT(6) - 6VT(4),1,60,4,78,2,BC,NCH,~~~~~,31,4,50,3
BCC0115000862,BC50008622,4VT(6) - 6VT(4),2,40,6,78,2,BC,WHC,~~~~~,14,6,50,3
BCC0115000863,BC50008631,2V(10),1,70,3,82,1,BC,MBH,~~~~~,53,3,100,1
BCC0115000863,BC50008632,2V(10),2,30,1,82,1,BC,RYD,~~~~~,86,1,100,1
BCC0115000864,BC50008641,3V(10),1,100,3,82,1,BC,MBH,~~~~~,53,3,100,1
BCC0115000865,BC50008651,5MV(10),1,100,5,78,2,BC,CUB,~~~~~,23,5,94,1
BCC0115000866,BC50008661,3VT(7) - 4VT(3),1,50,3,82,1,BC,LXT,~~~~~,55,3,73,2
BCC0115000866,BC50008662,3VT(7) - 4VT(3),2,30,4,82,1,BC,ABF,~~~~~,38,4,73,2
BCC0115000866,BC50008663,3VT(7) - 4VT(3),3,20,3,82,1,BC,MBH,~~~~~,53,3,80,1
BCC0115000867,BC50008671,3V(10),1,60,3,78,2,BC,LKM,sv~~~,58,3,100,1
BCC0115000867,BC50008672,3V(10),2,40,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000868,BC50008681,6WV(10),1,70,6,78,2,BC,VDD,d~~~~,14,6,100,1
BCC0115000868,BC50008682,6WV(10),2,30,6,78,2,BC,PST,d~~~~,16,6,100,1
BCC0115000869,BC50008691,6MV(10),1,100,6,82,1,BC,CUB,~~~~~,13,6,100,1
BCC0115000870,BC50008701,6TPV(10),1,60,7,67,2,BC,CNL,~~~~~,0,7,5,7
BCC0115000870,BC50008702,6TPV(10),2,40,5,67,2,BC,LZE,~~~~~,77,2,27,5
BCC0115000871,BC50008711,3W(10),1,100,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000872,BC50008721,7WV(10),1,100,7,78,2,BC,RSS,~~~~~,0,7,100,1
BCC0115000873,BC50008731,6TV(10),1,100,6,82,1,BC,ABF,~~~~~,38,4,12,6
BCC0115000875,BC50008751,6WV(10),1,100,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000876,BC50008761,6MPV(10),1,100,6,82,1,BC,CUB,~~~~~,13,6,80,1
BCC0115000877,BC50008771,4VW(6) - 7WV(4),1,60,4,78,2,BC,DFH,~~~~~,32,4,100,1
BCC0115000877,BC50008772,4VW(6) - 7WV(4),2,40,7,78,2,BC,LHM,d~~~~,6,7,100,1
BCC0115000878,BC50008781,6TV(10),1,60,7,67,2,BC,CNL,~~~~~,0,7,7,7
BCC0115000878,BC50008782,6TV(10),2,40,5,67,2,BC,LZE,~~~~~,77,2,22,5
BCC0115000879,BC50008791,6WV(10),1,100,6,82,1,BC,HRO,~~~~~,12,6,100,1
BCC0115000881,BC50008811,3MV(10),1,100,3,82,1,BC,LXT,~~~~~,55,3,94,1
BCC0115000883,BC50008831,6WV(10),1,100,6,78,2,BC,BFL,d~~~~,14,6,100,1
BCC0115000884,BC50008841,6WV(10),1,60,5,78,2,BC,HRO,d~~~~,21,5,100,1
BCC0115000884,BC50008842,6WV(10),2,40,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000885,BC50008851,7WV(7) - 4VW(3),1,50,7,78,2,BC,LHM,d~~~~,6,7,100,1
BCC0115000885,BC50008852,7WV(7) - 4VW(3),2,30,4,78,2,BC,DFH,~~~~~,32,4,100,1
BCC0115000885,BC50008853,7WV(7) - 4VW(3),3,20,7,78,2,BC,JUD,d~~~~,1,7,100,1
BCC0115000886,BC50008861,4V(10),1,100,4,67,2,BC,ABF,~~~~~,44,4,94,1
BCC0115000887,BC50008871,3WV(10),1,100,3,78,2,BC,BTS,~~~~~,50,3,100,1
BCC0115000888,BC50008881,1T(10),1,80,1,82,1,BC,RYD,~~~~~,86,1,80,1
BCC0115000888,BC50008882,1T(10),2,20,2,82,1,BC,LZE,~~~~~,74,2,80,1
BCC0115000889,BC50008891,3VM(10),1,100,3,78,2,BC,SUH,~~~~~,45,3,100,1
BCC0115000890,BC50008901,4V(6) - 6V(4),1,60,4,78,2,BC,NCH,~~~~~,31,4,94,1
BCC0115000890,BC50008902,4V(6) - 6V(4),2,40,6,78,2,BC,WHC,~~~~~,14,6,94,1
BCC0115000891,BC50008911,6WV(10),1,100,6,82,1,BC,COV,d~~~~,13,6,100,1
BCC0115000895,BC50008951,7VW(10),1,100,7,82,1,BC,CKS,d~~~~,2,7,100,1
BCC0115000896,BC50008961,3W(10),1,100,3,78,2,BC,VYE,~~~~~,54,3,100,1
BCC0115000898,BC50008981,5T(5) - 7VPT(3) - NR(2),1,50,5,63,2,BC,LZE,~~~~~,77,2,22,5
